block_size,insertion,selection
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0.0010017,0
700,0,0.0009994
800,0,0
900,0,0.0009994
1000,0,0.0010003
1100,0,0.0020003
1200,0,0.0010003
1300,0,0.0020003
1400,0,0.0020005
1500,0.0010002,0.0020004
1600,0,0.0030018
1700,0,0.0021303
1800,0,0
1900,0,0
2000,0,0
2100,0,0.0156259
2200,0,0
2300,0,0
2400,0,0.0156251
2500,0,0
2600,0,0.0175009
2700,0,0
2800,0,0.0140033
2900,0,0
3000,0,0.0156292
3100,0,0.0116604
3200,0,0.004004
3300,0,0.0156292
3400,0,0.0156253
3500,0,0.0156256
3600,0,0
3700,0,0.0156261
3800,0,0.0156273
3900,0,0.0294405
4000,0,0.0135831
4100,0,0.0156257
4200,0,0.0156947
4300,0,0.0158386
4400,0,0.0310519
4500,0,0.0160403
4600,0,0.0156453
4700,0,0.031252
4800,0,0.0156263
4900,0,0.0312381
5000,0,0.0337303
5100,0,0.0140053
5200,0,0.0313476
5300,0,0.0401783
5400,0.0009992,0.0298854
5500,0,0.0314447
5600,0.001014,0.0324208
5700,0,0.0338968
5800,0,0.0349563
5900,0.0008859,0.035885
6000,0,0.0252529
6100,0,0.0472541
6200,0,0.031252
6300,0,0.0468784
6400,0,0.0482889
6500,0.0005181,0.0296627
6600,0,0.0468778
6700,0,0.0469433
6800,0,0.0468964
6900,0,0.0472317
7000,0.0156261,0.0475146
7100,0,0.0547065
7200,0,0.0393842
7300,0,0.0625042
7400,0,0.0625051
7500,0,0.0471076
7600,0,0.0672382
7700,0,0.062515
7800,0,0.0625042
7900,0,0.0625041
8000,0,0.0717745
8100,0.0010001,0.0678612
8200,0,0.0698151
8300,0.001,0.0707441
8400,0.0010002,0.060632
8500,0,0.0781434
8600,0,0.0784254
8700,0,0.0843238
8800,0.0010013,0.0796048
8900,0,0.0815071
9000,0.0010006,0.0823305
9100,0.0010003,0.0847464
9200,0.001,0.0857293
9300,0.0010004,0.0885474
9400,0.0010014,0.0902171
9500,0.0010002,0.0915056
9600,0,0.0945712
9700,0.0010776,0.0938269
