block_no,merge,quick
1,672,765
2,2216,2431
3,4704,5422
4,8192,10064
5,12680,17207
6,18256,30157
7,24932,44747
8,32708,65617
9,41584,82054
10,51560,100987
11,62712,122852
12,75064,146620
13,88616,179692
14,103368,217383
15,119320,255249
16,136472,310823
17,154824,362430
18,174376,431995
19,195128,492911
20,217080,548212
21,240284,614862
22,264788,744115
23,290592,872902
24,317696,961807
25,346100,1.02509e+06
26,375804,1.1915e+06
27,406808,1.2765e+06
28,439112,1.4522e+06
29,472716,1.63207e+06
30,507620,1.74552e+06
31,543824,1.88278e+06
32,581328,1.99424e+06
33,620132,2.14887e+06
34,660236,2.33423e+06
35,701640,2.48201e+06
36,744344,2.62815e+06
37,788348,2.85112e+06
38,833652,3.01088e+06
39,880256,3.25774e+06
40,928160,3.40183e+06
41,977368,3.5665e+06
42,1.02798e+06,3.74198e+06
43,1.07998e+06,3.922e+06
44,1.13339e+06,4.14e+06
45,1.1882e+06,4.47059e+06
46,1.24441e+06,4.80763e+06
47,1.30202e+06,5.01514e+06
48,1.36102e+06,5.53605e+06
49,1.42143e+06,5.88647e+06
50,1.48324e+06,6.36999e+06
51,1.54645e+06,6.60879e+06
52,1.61106e+06,7.01415e+06
53,1.67706e+06,7.27702e+06
54,1.74447e+06,7.52845e+06
55,1.81328e+06,8.10274e+06
56,1.88349e+06,8.48425e+06
57,1.9551e+06,9.08261e+06
58,2.0281e+06,9.3975e+06
59,2.10251e+06,9.79458e+06
60,2.17832e+06,1.03259e+07
61,2.25553e+06,1.06936e+07
62,2.33414e+06,1.10218e+07
63,2.41414e+06,1.27154e+07
64,2.49555e+06,1.32957e+07
65,2.57836e+06,1.36726e+07
66,2.66257e+06,1.41005e+07
67,2.74818e+06,1.44993e+07
68,2.83518e+06,1.48868e+07
69,2.92359e+06,1.60627e+07
70,3.0134e+06,1.65576e+07
71,3.10461e+06,1.70032e+07
72,3.19722e+06,1.7397e+07
73,3.29122e+06,1.85378e+07
74,3.38663e+06,1.92194e+07
