block_size,merge,quick
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,0
900,0,0
1000,0,0
1100,0,0
1200,0,0
1300,0,0
1400,0,0
1500,0,0
1600,0,0
1700,0,0
1800,0,0
1900,0,0
2000,0,0
2100,0,0
2200,0,0
2300,0,0
2400,0,0
2500,0,0
2600,0,0
2700,0,0
2800,0,0
2900,0,0
3000,0,0
3100,0,0
3200,0,0
3300,0,0
3400,0,0.015624
3500,0,0
3600,0,0
3700,0,0.00303
3800,0,0
3900,0,0
4000,0,0
4100,0,0
4200,0,0
4300,0,0
4400,0,0
4500,0,0
4600,0,0
4700,0,0
4800,0,0.013017
4900,0,0
5000,0,0
5100,0,0
5200,0,0
5300,0,0
5400,0,0
5500,0,0
5600,0,0.015867
5700,0,0
5800,0,0
5900,0,0
6000,0,0
6100,0,0
6200,0,0.014057
6300,0,0.007911
6400,0,0.001101
6500,0,0
6600,0,0
6700,0.006434,0.001633
6800,0,0.002022
6900,0.001012,0.004
7000,0.001,0.001999
7100,0.001001,0.001
7200,0.001,0.002
7300,0,0.005016
7400,0,0.00298
7500,0.000993,0.00303
7600,0,0.002998
7700,0,0.003002
7800,0.001,0.001999
7900,0.000988,0.004558
8000,0,0.002
8100,0.001,0.003003
8200,0,0.002
8300,0.001,0.002
8400,0.000985,0.003612
8500,0.000522,0.005032
8600,0.000999,0.003
8700,0.001001,0.006621
8800,0.001009,0.006993
8900,0.001,0.003
9000,0,0.004
9100,0.001,0.004
9200,0.001,0.002
9300,0.001,0.004
9400,0,0.005
9500,0.001005,0.011818
9600,0,0
9700,0,0
9800,0,0.018822
9900,0,0
10000,0,0
10100,0,0
10200,0.014228,0.002083
10300,0,0
10400,0,0.013094
10500,0.001053,0.002737
10600,0.001076,0.003975
10700,0.000992,0.004989
10800,0.001003,0.003271
10900,0.001278,0.006564
11000,0.001,0.006619
11100,0.001,0.004
11200,0.001,0.008007
11300,0.001001,0.005
11400,0,0.011063
11500,0.001029,0.00328
11600,0.000506,0.009853
11700,0.001001,0.003078
11800,0,0
11900,0,0
